formula,space_group,structure,id,formation_energy
Au8Cu4,I4_1/amd,"[{'data': {'a': [3.9885536600000003e-10, 0, 0], 'b': [0, 3.9885536600000003e-10, 0], 'c': [1.9942768300000002e-10, 1.9942768300000002e-10, 1.227363525e-09], 'atoms': [{'x': 3.9885536600000003e-10, 'y': 3.9885536600000003e-10, 'z': 6.168703547488681e-10, 'element': 'Au'}, {'x': 1.9942768300000002e-10, 'y': 1.9942768300000002e-10, 'z': 6.10493170251132e-10, 'element': 'Au'}, {'x': 1.9942768300000002e-10, 'y': 3.9885536600000003e-10, 'z': 3.1885922488680004e-12, 'element': 'Au'}, {'x': 1.9942768300000002e-10, 'y': 3.9885536600000003e-10, 'z': 1.224174932751132e-09, 'element': 'Au'}, {'x': 3.9885536799427686e-10, 'y': 3.9885536799427686e-10, 'z': 1.0176524251124784e-09, 'element': 'Au'}, {'x': 1.9942768100572321e-10, 'y': 1.9942768100572321e-10, 'z': 2.0971109988752177e-10, 'element': 'Au'}, {'x': 1.9942768499427685e-10, 'y': 3.988553679942768e-10, 'z': 4.0397066261247827e-10, 'element': 'Au'}, {'x': 1.994276810057232e-10, 'y': 3.988553640057232e-10, 'z': 8.233928623875218e-10, 'element': 'Au'}, {'x': 3.988553699885537e-10, 'y': 3.988553699885537e-10, 'z': 2.0975470811356503e-10, 'element': 'Cu'}, {'x': 1.9942767901144636e-10, 'y': 1.9942767901144636e-10, 'z': 1.017608816886435e-09, 'element': 'Cu'}, {'x': 3.988553699885537e-10, 'y': 1.9942768698855367e-10, 'z': 8.23436470613565e-10, 'element': 'Cu'}, {'x': 3.988553620114464e-10, 'y': 1.9942767901144636e-10, 'z': 4.03927054386435e-10, 'element': 'Cu'}]}, 'natoms': 12, 'element': {'Cu': 4, 'Au': 8}}]",PN_ANSYVTOKHSKFABJGWATP6PFVKTSI3CYF,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': -0.013423669088216647, 'value': -0.16108402905859975}"
Au2Cu,I4/mmm,"[{'data': {'a': [5.74191282e-10, 0, -2.0521513100000003e-10], 'b': [5.74191282e-10, 0, 2.0521513100000003e-10], 'c': [-5.74191282e-10, -2.0521513100000003e-10, 0], 'atoms': [{'x': 1.135008466208179e-09, 'y': 0, 'z': 1.1443656801873292e-26, 'element': 'Au'}, {'x': 7.789624776197627e-10, 'y': 0, 'z': -3.342552054732916e-27, 'element': 'Au'}, {'x': 3.827941841720581e-10, 'y': 0, 'z': 4.823592324000681e-27, 'element': 'Cu'}]}, 'natoms': 3, 'element': {'Cu': 1, 'Au': 2}}]",PN_NDGEL32XEVGYSNSYHCY2ZNIJJFB6J5PT,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': -0.03589703325703416, 'value': -0.10769109977110247}"
AuCu3,P4/mmm,"[{'data': {'a': [0, -1.97587683e-10, -1.97587683e-10], 'b': [0, -1.97587683e-10, 1.97587683e-10], 'c': [-6.930262660000001e-10, 0, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': -3.4651313300000005e-10, 'y': 0, 'z': 0, 'element': 'Cu'}, {'x': -1.8996378037074695e-10, 'y': -1.97587683e-10, 'z': 0, 'element': 'Cu'}, {'x': -5.030624856292532e-10, 'y': -1.97587683e-10, 'z': 0, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 3, 'Au': 1}}]",PN_6BZJORO57RON67UNY67HHXMQGKTBC3D4,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': -0.0003989963805692831, 'value': -0.0015959855222771324}"
Au2Cu,P4/mmm,"[{'data': {'a': [4.3992173e-10, 0, 0], 'b': [0, 4.3992173e-10, 0], 'c': [0, 0, 2.81417257e-10], 'atoms': [{'x': 0, 'y': 2.19960865e-10, 'z': 1.407086285e-10, 'element': 'Au'}, {'x': 2.19960865e-10, 'y': 0, 'z': 1.407086285e-10, 'element': 'Au'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Cu'}]}, 'natoms': 3, 'element': {'Cu': 1, 'Au': 2}}]",PN_BBHZL5SAAZCDAX3QINKEMWLZVYASNCUA,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 0.08111985664253396, 'value': 0.24335956992760188}"
AuCu3,P4/mmm,"[{'data': {'a': [-2.74490634e-10, -2.74490634e-10, 0], 'b': [2.74490634e-10, -2.74490634e-10, 0], 'c': [0, 0, 3.56387853e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 1.37245317e-10, 'y': -1.37245317e-10, 'z': 1.781939265e-10, 'element': 'Cu'}, {'x': -1.37245317e-10, 'y': -1.37245317e-10, 'z': 1.781939265e-10, 'element': 'Cu'}, {'x': 0, 'y': -2.74490634e-10, 'z': 0, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 3, 'Au': 1}}]",PN_EH3B7ZQV7C6ELJQKV7OMJHO35K7NFNQZ,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': -0.02419453286992912, 'value': -0.09677813147971648}"
AuCu3,Pm-3m,"[{'data': {'a': [4.85085493e-10, 0, 0], 'b': [0, 4.85085493e-10, 0], 'c': [0, 0, 4.85085493e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 2.425427465e-10, 'y': 0, 'z': 0, 'element': 'Cu'}, {'x': 0, 'y': 2.425427465e-10, 'z': 0, 'element': 'Cu'}, {'x': 0, 'y': 0, 'z': 2.425427465e-10, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 3, 'Au': 1}}]",PN_WJIYCI56D5LUYJTL7TTAPZBMNXFM2RCE,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 1.091933621721732, 'value': 4.367734486886928}"
AuCu,R-3m,"[{'data': {'a': [1.431592e-10, 8.265300000000001e-11, 4.3011260000000003e-10], 'b': [-1.431592e-10, 8.265300000000001e-11, 4.3011260000000003e-10], 'c': [0, -1.6530600000000001e-10, 4.3011260000000003e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': -5.695449977283068e-28, 'y': 5.1244860014243847e-17, 'z': 6.451689473123861e-10, 'element': 'Cu'}]}, 'natoms': 2, 'element': {'Cu': 1, 'Au': 1}}]",PN_CNNG4TOYXHZPLOKA5CMMFXLMPVANIL7A,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/mAAfBZKmTQWDVL1ZPRsrVQ/RJxSjMDRsm3WyoHrN444BNogn6Zv', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/kPbFtrDlT1aKTsmtjEcCvg/SYMstQY5oJVHaJ3I_PyHB1hkE0VP'}, 'value_per_atom': -0.00426602051720959, 'value': -0.00853204103441918}"
Ag8Au4,I4_1/amd,"[{'data': {'a': [4.1553709200000005e-10, 0, 0], 'b': [0, 4.1553709200000005e-10, 0], 'c': [-2.0776854600000002e-10, -2.0776854600000002e-10, 1.2458649510000002e-09], 'atoms': [{'x': 2.0776854595586392e-18, 'y': 2.0776854595586392e-18, 'z': 6.227688809732843e-10, 'element': 'Ag'}, {'x': 2.0776854392231457e-10, 'y': 2.0776854392231457e-10, 'z': 6.230960700267159e-10, 'element': 'Ag'}, {'x': 2.0776854595586392e-18, 'y': 2.0776854807768545e-10, 'z': 1.2457013564732844e-09, 'element': 'Ag'}, {'x': -2.077685459997638e-18, 'y': 2.0776854392231457e-10, 'z': 1.6359452671581e-13, 'element': 'Ag'}, {'x': 2.0776854739241125e-18, 'y': 2.0776854739241125e-18, 'z': 1.038089922692664e-09, 'element': 'Ag'}, {'x': 2.0776854392231457e-10, 'y': 2.0776854392231457e-10, 'z': 2.0777502830733622e-10, 'element': 'Ag'}, {'x': 2.0776854807768548e-10, 'y': 2.0776854609994155e-18, 'z': 4.1515744719266383e-10, 'element': 'Ag'}, {'x': 2.0776854392231457e-10, 'y': -2.0776854739241125e-18, 'z': 8.307075038073363e-10, 'element': 'Ag'}, {'x': 4.155370915554694e-18, 'y': 4.155370915554694e-18, 'z': 2.0666063948461527e-10, 'element': 'Au'}, {'x': 2.077685418446291e-10, 'y': 2.077685418446291e-10, 'z': 1.0392043115153848e-09, 'element': 'Au'}, {'x': 4.155370922712656e-18, 'y': 2.077685501553709e-10, 'z': 8.295931149846154e-10, 'element': 'Au'}, {'x': -4.155370934246127e-18, 'y': 2.077685418446291e-10, 'z': 4.1627183601538484e-10, 'element': 'Au'}]}, 'natoms': 12, 'element': {'Au': 4, 'Ag': 8}}]",PN_AYB5TVUK5QFU3YEKTV4A5KTGXAQY7MAZ,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': -0.044137649704605174, 'value': -0.5296517964552621}"
AuCu3,Pm-3m,"[{'data': {'a': [4.86618786e-10, 0, 0], 'b': [0, 4.86618786e-10, 0], 'c': [0, 0, 4.86618786e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 2.43309393e-10, 'y': 0, 'z': 0, 'element': 'Cu'}, {'x': 0, 'y': 2.43309393e-10, 'z': 0, 'element': 'Cu'}, {'x': 0, 'y': 0, 'z': 2.43309393e-10, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 3, 'Au': 1}}]",PN_6HNDDIE3QK6NICR7M2KW5LYIHKPRXIPJ,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 1.1107217943881529, 'value': 4.4428871775526115}"
Ag2Cu,I4/mmm,"[{'data': {'a': [5.92644207e-10, 0, -2.0154506200000002e-10], 'b': [5.92644207e-10, 0, 2.0154506200000002e-10], 'c': [-5.92644207e-10, -2.0154506200000002e-10, 0], 'atoms': [{'x': -1.239934951039056e-11, 'y': 0, 'z': -8.831582759754872e-29, 'element': 'Ag'}, {'x': 8.025916176084678e-10, 'y': 0, 'z': 8.218955006964872e-27, 'element': 'Ag'}, {'x': 3.9509613404903864e-10, 'y': 0, 'z': 6.398437528381164e-27, 'element': 'Cu'}]}, 'natoms': 3, 'element': {'Cu': 1, 'Ag': 2}}]",PN_XWNOD6UMPSGCM7P65OO2BRO6X6GQQABF,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.07615813974300245, 'value': 0.22847441922900735}"
