formula,space_group,structure,id,formation_energy
GePt2Rh,P4mm,"[{'data': {'a': [2.90655132e-10, 0, 0], 'b': [0, 2.90655132e-10, 0], 'c': [0, 0, 7.16901781e-10], 'atoms': [{'x': 1.45327566e-10, 'y': 1.45327566e-10, 'z': 5.307004154347124e-10, 'element': 'Ge'}, {'x': 0, 'y': 0, 'z': 6.986168139486332e-10, 'element': 'Pt'}, {'x': 1.45327566e-10, 'y': 1.45327566e-10, 'z': 1.828613416746621e-10, 'element': 'Pt'}, {'x': 0, 'y': 0, 'z': 3.8007588144199226e-10, 'element': 'Rh'}]}, 'natoms': 4, 'element': {'Pt': 2, 'Rh': 1, 'Ge': 1}}]",PN_OYZ5BNMET2LJBJ4YKDZKLTGOCSC6YCU4,"{'reference': {'Pt': 'https://nomad-lab.eu/prod/rae/gui/entry/id/68wFX7Q8S5SrqzKuJtOXRg/hfTXu5BPKf83TlYNvYL_xjc7wecf', 'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': -0.1779903512198242, 'value': -0.7119614048792968}"
Mn3P3Rh3,P-62m,"[{'data': {'a': [6.222444880000001e-10, -1.1958400000000002e-13, 0], 'b': [-3.1122580700000004e-10, 5.38819725e-10, 0], 'c': [0, 0, 3.56023376e-10], 'atoms': [{'x': 3.726528108007719e-10, 'y': -6.321778153653001e-14, 'z': 1.78011688e-10, 'element': 'Mn'}, {'x': 1.247566126407302e-10, 'y': 2.160847850172824e-10, 'z': 1.78011688e-10, 'element': 'Mn'}, {'x': -1.8638115373556679e-10, 'y': 3.226951818896012e-10, 'z': 1.78011688e-10, 'element': 'Mn'}, {'x': 3.1106626838840393e-10, 'y': 1.7952488818696778e-10, 'z': 0, 'element': 'P'}, {'x': -6.001569489666838e-14, 'y': 3.591537263553979e-10, 'z': 0, 'element': 'P'}, {'x': 1.8816630200500005e-14, 'y': 3.25913585305e-14, 'z': 1.78011688e-10, 'element': 'P'}, {'x': 1.647892589480999e-10, 'y': -1.122892789142001e-14, 'z': 0, 'element': 'Rh'}, {'x': -8.240435406807496e-11, 'y': 1.4270606556100355e-10, 'z': 0, 'element': 'Rh'}, {'x': 2.2864890095843214e-10, 'y': 3.960315013547447e-10, 'z': 0, 'element': 'Rh'}]}, 'natoms': 9, 'element': {'P': 3, 'Mn': 3, 'Rh': 3}}]",PN_S3VBXQZ3C6YSZBBNGQKV6FJAKKS6HG3Z,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/RqzAgcgoQ2ZTm0QGvfa6HhzocDYR', 'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/hXjxFrSARi6vr8ZsckYj7Q/tx_1N24Ev1WXbH2sMhMM1KZC-Ghz', 'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/h-OyzT5uN9iUfiT81qGCfWES41-q'}, 'value_per_atom': -0.6261107476977578, 'value': -5.63499672927982}"
GaSrTa2,P4/mmm,"[{'data': {'a': [2.9838117400000003e-10, 0, 0], 'b': [0, 2.9838117400000003e-10, 0], 'c': [0, 0, 9.5411989e-10], 'atoms': [{'x': 1.4919058700000001e-10, 'y': 1.4919058700000001e-10, 'z': 2.385299725e-10, 'element': 'Ga'}, {'x': 1.4919058700000001e-10, 'y': 1.4919058700000001e-10, 'z': 7.155899174999999e-10, 'element': 'Sr'}, {'x': 0, 'y': 0, 'z': 5.30908181703864e-11, 'element': 'Ta'}, {'x': 0, 'y': 0, 'z': 4.2396912682961357e-10, 'element': 'Ta'}]}, 'natoms': 4, 'element': {'Ga': 1, 'Ta': 2, 'Sr': 1}}]",PN_IAMOJBATNIDWXUXV7GM6ZVAZEZJ4IP5C,"{'reference': {'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/vRXRCHTc1BwC0KVL2zTyDtxvDQO7', 'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HFcfn7V1T0qqPvWety_q2w/Jno4RsivxTTSMHe4wn8p4qW8Ef6G', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/9CyQcCUbCgpVbqUi9LKvMkTBuex3'}, 'value_per_atom': 0.4958589843176089, 'value': 1.9834359372704355}"
Ir2MnNa,P4mm,"[{'data': {'a': [2.7054247600000004e-10, 0, 0], 'b': [0, 2.7054247600000004e-10, 0], 'c': [0, 0, 8.659131640000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 2.829275147008796e-11, 'element': 'Ir'}, {'x': 1.3527123800000002e-10, 'y': 1.3527123800000002e-10, 'z': 2.3038282151790458e-10, 'element': 'Ir'}, {'x': 0, 'y': 0, 'z': 3.8850075602460955e-10, 'element': 'Mn'}, {'x': 1.3527123800000002e-10, 'y': 1.3527123800000002e-10, 'z': 6.51693416987398e-10, 'element': 'Na'}]}, 'natoms': 4, 'element': {'Mn': 1, 'Na': 1, 'Ir': 2}}]",PN_7SPIQIK7YL3VKGVFLKLFNU3VFXYGDOBS,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'Na': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/fZBjCAvL-C0KpykVeDkglk4DiMJE', 'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf'}, 'value_per_atom': 0.4402832034161932, 'value': 1.7611328136647728}"
CuKPt2,C2/m,"[{'data': {'a': [1.38813776e-10, 5.6328332e-10, 2.0036899999999999e-13], 'b': [-1.38813776e-10, 5.6328332e-10, 2.0036899999999999e-13], 'c': [0, 2.12383446e-10, 4.68072615e-10], 'atoms': [{'x': 0, 'y': 3.347375215e-10, 'z': 1.1711833825e-10, 'element': 'Cu'}, {'x': 6.462348535570529e-27, 'y': 1.0042125645e-09, 'z': 3.5135501475e-10, 'element': 'K'}, {'x': -4.961957996395885e-27, 'y': 1.098993507001343e-09, 'z': 2.5332838143405926e-11, 'element': 'Pt'}, {'x': 4.961957996395885e-27, 'y': 6.970481759986572e-10, 'z': 2.0930457635659407e-10, 'element': 'Pt'}]}, 'natoms': 4, 'element': {'Cu': 1, 'Pt': 2, 'K': 1}}]",PN_STZ2MFNWIKIJHGOO5SEC7ELCLYACA23T,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Pt': 'https://nomad-lab.eu/prod/rae/gui/entry/id/68wFX7Q8S5SrqzKuJtOXRg/hfTXu5BPKf83TlYNvYL_xjc7wecf', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1'}, 'value_per_atom': 0.16656736281599027, 'value': 0.6662694512639611}"
Nb2NiPb,P4mm,"[{'data': {'a': [3.46936944e-10, 0, 0], 'b': [0, 3.46936944e-10, 0], 'c': [0, 0, 6.06887564e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 1.800387185374324e-11, 'element': 'Nb'}, {'x': 1.73468472e-10, 'y': 1.73468472e-10, 'z': 1.5556593503700291e-10, 'element': 'Nb'}, {'x': 0, 'y': 0, 'z': 2.899483018618192e-10, 'element': 'Ni'}, {'x': 1.73468472e-10, 'y': 1.73468472e-10, 'z': 4.4681323724743465e-10, 'element': 'Pb'}]}, 'natoms': 4, 'element': {'Pb': 1, 'Nb': 2, 'Ni': 1}}]",PN_AFZ5HD7YEGFHGIILZYXKH5VZ4OYECPK4,"{'reference': {'Pb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/gsAlmK4OTCGsgQBj4SzPwA/aYJtYKNr85nM-0acWcW3IEbYkJ65', 'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp'}, 'value_per_atom': 0.2048241766668344, 'value': 0.8192967066673376}"
GeNaPb2,P4/mmm,"[{'data': {'a': [3.6741192e-10, 0, 0], 'b': [0, 3.6741192e-10, 0], 'c': [0, 0, 8.423230849999999e-10], 'atoms': [{'x': 1.8370596e-10, 'y': 1.8370596e-10, 'z': 2.1058077124999998e-10, 'element': 'Ge'}, {'x': 1.8370596e-10, 'y': 1.8370596e-10, 'z': 6.317423137499999e-10, 'element': 'Na'}, {'x': 0, 'y': 0, 'z': 3.1928138611693094e-11, 'element': 'Pb'}, {'x': 0, 'y': 0, 'z': 3.8923340388830687e-10, 'element': 'Pb'}]}, 'natoms': 4, 'element': {'Pb': 2, 'Na': 1, 'Ge': 1}}]",PN_YLVTLZDMY5GAFNWO55G5YQUMENLIFQCA,"{'reference': {'Pb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/gsAlmK4OTCGsgQBj4SzPwA/aYJtYKNr85nM-0acWcW3IEbYkJ65', 'Na': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/fZBjCAvL-C0KpykVeDkglk4DiMJE', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': 0.02583068155098811, 'value': 0.10332272620395244}"
KMnW2,P4/mmm,"[{'data': {'a': [2.75830185e-10, 0, 0], 'b': [0, 2.75830185e-10, 0], 'c': [0, 0, 9.86576684e-10], 'atoms': [{'x': 1.379150925e-10, 'y': 1.379150925e-10, 'z': 2.46644171e-10, 'element': 'K'}, {'x': 1.379150925e-10, 'y': 1.379150925e-10, 'z': 7.39932513e-10, 'element': 'Mn'}, {'x': 0, 'y': 0, 'z': 9.123544285201099e-10, 'element': 'W'}, {'x': 0, 'y': 0, 'z': 5.675105974798901e-10, 'element': 'W'}]}, 'natoms': 4, 'element': {'Mn': 1, 'W': 2, 'K': 1}}]",PN_H3S75AD6NYXZBY45NALS6VUJVXSM4OL2,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'W': 'https://nomad-lab.eu/prod/rae/gui/entry/id/JriGWVUJSX2Vkeya5zzAPw/dcAjiz1dsca03eeBAM-fTgQjR8M_', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1'}, 'value_per_atom': 0.9728537269257149, 'value': 3.8914149077028597}"
AlGe2Sb,P4mm,"[{'data': {'a': [3.67149658e-10, 0, 0], 'b': [0, 3.69662271e-10, 0], 'c': [0, 0, 6.43162824e-10], 'atoms': [{'x': 1.83574829e-10, 'y': 1.848311355e-10, 'z': 4.885503529506004e-10, 'element': 'Al'}, {'x': 0, 'y': 0, 'z': 6.39829954246032e-12, 'element': 'Ge'}, {'x': 1.83574829e-10, 'y': 1.848311355e-10, 'z': 1.1057783950049328e-10, 'element': 'Ge'}, {'x': 0, 'y': 0, 'z': 3.5921775043807416e-10, 'element': 'Sb'}]}, 'natoms': 4, 'element': {'Al': 1, 'Ge': 2, 'Sb': 1}}]",PN_OIKERGNACMAZL4FNQIZACAUFYB4T7DCV,"{'reference': {'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': 0.20569714282453777, 'value': 0.8227885712981511}"
BaSn2W,P4/mmm,"[{'data': {'a': [3.5274128000000003e-10, 0, 0], 'b': [0, 3.5274128000000003e-10, 0], 'c': [0, 0, 8.222129389999999e-10], 'atoms': [{'x': 1.7637064000000001e-10, 'y': 1.7637064000000001e-10, 'z': 6.166597042499999e-10, 'element': 'Ba'}, {'x': 0, 'y': 0, 'z': 5.193603405894423e-11, 'element': 'Sn'}, {'x': 0, 'y': 0, 'z': 3.591704354410557e-10, 'element': 'Sn'}, {'x': 1.7637064000000001e-10, 'y': 1.7637064000000001e-10, 'z': 2.0555323474999998e-10, 'element': 'W'}]}, 'natoms': 4, 'element': {'W': 1, 'Sn': 2, 'Ba': 1}}]",PN_W66YFE4HVUQFLH3F5PQ2L4WCZDE7DL3L,"{'reference': {'W': 'https://nomad-lab.eu/prod/rae/gui/entry/id/JriGWVUJSX2Vkeya5zzAPw/dcAjiz1dsca03eeBAM-fTgQjR8M_', 'Sn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/OAw0poj5HN3ZrB-djDMlDbA7-aNL', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': 0.13960558480567276, 'value': 0.558422339222691}"
